ACTA OPHTHALMOLOGICA	2.538
AMERICAN JOURNAL OF OPHTHALMOLOGY	4.535
ARCHIVES OF OPHTHALMOLOGY	4.481
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA	0.518
BMC Ophthalmology	1.52
BRITISH JOURNAL OF OPHTHALMOLOGY	2.967
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	1.568
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	2.158
Clinical and Experimental Optometry	1.255
Contact Lens & Anterior Eye	2
CORNEA	2.239
CURRENT EYE RESEARCH	1.751
CURRENT OPINION IN OPHTHALMOLOGY	2.704
Cutaneous and Ocular Toxicology	0.987
DOCUMENTA OPHTHALMOLOGICA	1.798
EUROPEAN JOURNAL OF OPHTHALMOLOGY	1.006
EXPERIMENTAL EYE RESEARCH	3.087
EYE	1.943
-Science and Clinical Practice	1.92
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	2.274
INDIAN JOURNAL OF OPHTHALMOLOGY	0.98
International Journal of Ophthalmology	0.302
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	3.754
JOURNAL OF AAPOS	1.25
JOURNAL OF CATARACT AND REFRACTIVE SURGERY	2.766
Journal of Eye Movement Research	1.427
JOURNAL FRANCAIS D OPHTALMOLOGIE	0.455
JOURNAL OF GLAUCOMA	2.297
JOURNAL OF NEURO-OPHTHALMOLOGY	1.504
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	1.467
Journal of Ophthalmology	1.852
JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS	0.868
JOURNAL OF REFRACTIVE SURGERY	2.743
JOURNAL OF VISION	3.075
JAMA Ophthalmology	4.481
JAPANESE JOURNAL OF OPHTHALMOLOGY	1.587
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE	0.526
MOLECULAR VISION	2.433
OCULAR IMMUNOLOGY AND INFLAMMATION	1.381
Ocular Surface	4.039
OPHTHALMIC EPIDEMIOLOGY	1.794
OPHTHALMIC AND PHYSIOLOGICAL OPTICS	1.743
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY	0.895
OPHTHALMIC SURGERY LASERS & IMAGING	1.088
OPHTHALMIC GENETICS	1.225
OPHTHALMIC RESEARCH	1.312
OPHTHALMOLOGE	0.676
OPHTHALMOLOGICA	1.454
OPHTHALMOLOGY	6.195
Optometry-Journal of the American Optometric Association	1.399
OPTOMETRY AND VISION SCIENCE	2.331
PROGRESS IN RETINAL AND EYE RESEARCH	11.207
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	3.047
Revista Brasileira de Oftalmologia	0.192
Seminars in Ophthalmology	1.196
SURVEY OF OPHTHALMOLOGY	3.686
VISION RESEARCH	2.551
VISUAL NEUROSCIENCE	1.705
PLOS ONE	4.015
EXPERIMENTAL NEUROLOGY	4.478